Annotation_ID,Response_ID,Chatgpt_Label,Claude_Label,Deepseek_Label,Llama_Label,Qwen_Label,Human_Label,Final_Label
95,95,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
96,96,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
97,97,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
98,98,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
99,99,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
100,100,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
101,101,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
102,102,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
103,103,Neutral,Counter-Speech,Neutral,Neutral,Counter-Speech,,
104,104,Neutral,Counter-Speech,Neutral,Counter-Speech,Counter-Speech,,
105,105,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
106,106,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
107,107,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
108,108,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
109,109,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
110,110,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
111,111,Neutral,Counter-Speech,Neutral,Counter-Speech,Counter-Speech,,
112,112,Counter-Speech,Hate speech,Counter-Speech,Hate speech,Counter-Speech,,
113,113,Neutral,Counter-Speech,Neutral,Neutral,Counter-Speech,,
114,114,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
115,115,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
116,116,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
117,117,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
118,118,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
119,119,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech.,Counter-Speech,,
120,120,Counter-Speech,Counter-Speech,Counter-Speech,Refusal,Counter-Speech,,
121,121,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech.,Counter-Speech,,
122,122,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
123,123,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
124,124,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
125,125,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
126,126,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
127,127,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
128,128,Neutral,Hate speech,Counter-Speech,Counter-Speech.,Counter-Speech,,
129,129,Neutral,Hate speech,Neutral,Counter-Speech,Counter-Speech,,
130,130,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
131,131,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
132,132,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
133,133,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
134,134,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
135,135,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
136,136,Counter-Speech,Neutral,Neutral,Neutral,Counter-Speech,,
137,137,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
138,138,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
139,139,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
140,140,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
141,141,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
142,142,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
143,143,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
144,144,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
145,145,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
146,146,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
147,588,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech.,Counter-Speech,,
148,589,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
149,590,Counter-Speech,Counter-Speech,Neutral,Neutral,Counter-Speech,,
150,591,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
151,592,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
152,593,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
153,594,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
154,595,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
155,596,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
156,597,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
157,598,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
158,599,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
159,600,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
160,601,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
161,602,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
162,603,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
163,604,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
164,605,Counter-Speech,Counter-Speech,Counter-Speech,**Neutral**,Counter-Speech,,
165,606,Counter-Speech,Counter-speech,Counter-Speech,Neutral,Counter-Speech,,
166,607,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
167,608,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
168,609,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
169,610,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
170,611,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
171,612,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
172,613,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
173,614,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
174,615,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
175,616,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
176,617,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
177,618,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
178,619,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,Counter-Speech,,
179,620,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
180,621,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
181,622,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
182,623,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
183,624,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
184,625,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
185,626,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
186,627,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
187,628,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
188,629,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech.,Counter-Speech,,
189,630,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
190,631,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
191,632,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
192,633,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
193,634,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
194,635,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
195,636,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
196,637,Counter-Speech,Counter-Speech,Hate speech,Neutral,Counter-Speech,,
197,638,Neutral,Counter-Speech,Neutral,Përgjigja: Neutral,Counter-Speech,,
198,639,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
199,640,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
200,641,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
201,642,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
202,643,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
203,644,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
204,645,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
205,646,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
206,647,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
207,648,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
208,649,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
209,650,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
210,651,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
211,652,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
212,653,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
213,654,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech.,Counter-Speech,,
214,655,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
215,656,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
216,657,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
217,658,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
218,659,Counter-Speech,Counter-Speech,Neutral,Neutral,Counter-Speech,,
219,660,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
220,661,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
221,662,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
222,663,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
223,664,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
224,665,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
225,666,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
226,667,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
227,668,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
228,669,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
229,670,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
230,671,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
231,672,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
232,673,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
233,674,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
234,675,Counter-Speech,Counter-Speech,Counter-Speech,**Neutral**,Counter-Speech,,
235,676,Counter-Speech,Counter-Speech,Counter-Speech,Hate speech,Counter-Speech,,
236,677,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
237,678,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
238,679,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
239,680,Counter-Speech,Counter-Speech,Counter-Speech,Hate speech,Counter-Speech,,
240,681,Counter-Speech,Counter-Speech,Neutral,Neutral,Counter-Speech,,
241,682,Neutral,Counter-Speech,Hate speech,Refusal,Counter-Speech,,
242,683,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
243,684,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
244,685,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
245,686,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
246,687,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
247,688,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
248,689,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
249,690,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
250,691,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
251,692,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
252,693,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
253,694,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
254,695,Counter-Speech,Counter-Speech,Neutral,Neutral,Counter-Speech,,
255,696,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
256,697,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
257,698,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
258,699,Neutral,Counter-Speech,Neutral,Neutral,Counter-Speech,,
259,700,Counter-Speech,Hate speech,Counter-Speech,Hate Speech,Counter-Speech,,
260,701,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
261,702,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
262,703,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
263,704,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
264,705,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
265,706,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
266,707,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
267,708,Counter-Speech,Counter-Speech,Counter-Speech,Hate speech,Counter-Speech,,
268,709,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
269,710,Counter-Speech,Hate speech,Counter-Speech,Hate Speech,Counter-Speech,,
270,711,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
271,712,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
272,713,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
273,714,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
274,715,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
275,716,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
276,717,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
277,718,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,Counter-Speech,,
278,719,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
279,720,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
280,721,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
281,722,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
282,723,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
283,724,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
284,725,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
285,726,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
286,727,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
287,728,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
288,729,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
289,730,Counter-Speech,Counter-Speech,Counter-Speech,Hate speech.,Counter-Speech,,
290,731,Counter-Speech,Hate speech,Counter-Speech,Hate Speech,Counter-Speech,,
291,732,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
292,733,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
293,734,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
294,147,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
295,148,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
296,149,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
297,150,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
298,151,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
299,152,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
300,153,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
301,154,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
302,155,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
303,156,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
304,157,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
305,158,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
306,159,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
307,160,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
308,161,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
309,162,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
310,163,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
311,164,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
312,165,Counter-Speech,Refusal,Counter-Speech,Neutral,Counter-Speech,,
313,166,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
314,167,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
315,168,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
316,169,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
317,170,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
