Sample_ID,Group_ID,Language,Hate_Type,Text,Source_Dataset
44,43,Albanian,JEWS,Nazistët ishin të dobët në vrasjen e hebrenjve… kudo që shikon ka një të mbijetuar të Holokaustit.,CONAN
45,44,Albanian,POC,"Raca është një konstrukt shoqëror, dhe nëse sheh ndonjë ndryshim mes këtyre dy grave, është sepse ke një sëmundje mendore. [imazh që tregon një atlete femër europiane bjonde, krahas një gruaje afrikane me pjatë buzësh]",CONAN
46,45,Albanian,LGBT+,"Sekretari i Arsimit në MB: 'Të gjithë fëmijët nga mosha 4 vjeç do të kenë mësime të detyrueshme mbi marrëdhëniet e së njëjtës gjini.' – Kjo nuk ka të bëjë me arsimin, por me ngatërrimin dhe indoktrinimin e qëllimshëm të fëmijëve dhe pengimin e zhvillimit të personaliteteve të tyre.",CONAN
47,46,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",CONAN
48,47,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",CONAN
49,48,Albanian,MIGRANTS,Pakistan: 202 milionë Nigeria: 193 milionë Bangladesh: 165 milionë Etiopi: 107 milionë Kongo: 84 milionë Britania e Madhe: 66 milionë ‘Pakicat etnike’ Mos më bëj të qesh me gjithë shpirt!,CONAN
50,49,Albanian,LGBT+,"Sekretari i Arsimit në MB: 'Të gjithë fëmijët nga mosha 4 vjeç do të kenë mësime të detyrueshme mbi marrëdhëniet e së njëjtës gjini.' – Kjo nuk ka të bëjë me arsimin, por me ngatërrimin dhe indoktrinimin e qëllimshëm të fëmijëve dhe pengimin e zhvillimit të personaliteteve të tyre.",CONAN
51,50,Albanian,other,"Qeveria e MB ka publikuar së fundmi një dokument mbi ‘Dëmet Online’ – me fjalë të tjera ata do të punojnë me organizatat hebraike dhe myslimane kundër urrejtjes për të censuruar internetin. (Duke iu referuar Tell Mama, CST dhe Stop Hate UK)",CONAN
52,51,Albanian,LGBT+,Që kur është bërë përdorimi i anusit si organ seksual një ‘arritje monumentale’? KJO ËSHTË HOMOSEKSUALITET I DETYRUAR NGA SHTETI! Ndoshta duhet ta ndryshojmë moton tonë në ‘Besojmë në kamatë dhe sodomi’ (në përgjigje të dekriminalizimit të homoseksualitetit nga Botsvana),CONAN
53,52,Albanian,WOMEN,Feministet kanë fituar. Me kaq shumë gra që nuk duan të riprodhojnë do të zëvendësohemi dhe do ta humbasim qytetërimin.,CONAN
54,53,Albanian,JEWS,‘Holokausti’ është një biznes. Ka qenë dhe vazhdon të përdoret për të zhvaturr miliona nga vendet europiane si reparacione dhe për të krijuar një mur paprekshmërie pas të cilit hebrenjtë mund të veprojnë pa kritika.,CONAN
55,54,Albanian,JEWS,‘Holokausti’ është një biznes. Ka qenë dhe vazhdon të përdoret për të zhvaturr miliona nga vendet europiane si reparacione dhe për të krijuar një mur paprekshmërie pas të cilit hebrenjtë mund të veprojnë pa kritika.,CONAN
56,55,Albanian,JEWS,"‘Lëngu (Hebrenjtë) janë më keq se bombat bërthamore.’ Titulli i një meme që tregon Hiroshimën në 1945 dhe sot, në kontrast me fotografitë e Detroitit në 1945 dhe sot.",CONAN
57,56,Albanian,MIGRANTS,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion paund. Lypsarë në rrugën kryesore dhe dikush që fle në stol. Nuk mund t’i strehojmë njerëzit tanë por sjellim miliona të tjerë. Të thuash se të pastrehët janë për shkak të emigracionit të pakontrolluar do të të quajnë ‘racist’. (Titull mbi një foto të një të pastrehu që fle në stol)",CONAN
58,57,Albanian,other,"Më bën të qesh me gjithë shpirt, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezë në vendet e zeza si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne durojmë këtë budallallëk.",CONAN
59,58,Albanian,JEWS,Pakicat votojnë për t'u marrë pasurinë dhe fuqinë të bardhëve dhe kjo organizohet nga Hebrenjtë.,CONAN
60,59,Albanian,LGBT+,E kam toleruar krenarinë gay. E kam toleruar që të jenë në TV dhe në çdo shesh qyteti. Por nuk e toleroj që demonët trans të lexojnë libra për fëmijët. (për orën e rrëfimeve nga drag queens),CONAN
61,60,Albanian,JEWS,"Ekstremistët sionistë komplotojnë në Jeruzalem. Qëllimet e tyre janë të shkaktojnë kaos, masakra, vrasje, të krijojnë më shumë refugjatë dhe të shkatërrojnë Europën.",CONAN
62,61,Albanian,LGBT+,E kam toleruar krenarinë gay. E kam toleruar që të jenë në TV dhe në çdo shesh qyteti. Por nuk e toleroj që demonët trans të lexojnë libra për fëmijët. (për orën e rrëfimeve nga drag queens),CONAN
63,62,Albanian,JEWS,"‘Lëngu (Hebrenjtë) janë më keq se bombat bërthamore.’ Titulli i një meme që tregon Hiroshimën në 1945 dhe sot, në kontrast me fotografitë e Detroitit në 1945 dhe sot.",CONAN
64,63,Albanian,LGBT+,Që kur është bërë përdorimi i anusit si organ seksual një ‘arritje monumentale’? KJO ËSHTË HOMOSEKSUALITET I DETYRUAR NGA SHTETI! Ndoshta duhet ta ndryshojmë moton tonë në ‘Besojmë në kamatë dhe sodomi’ (në përgjigje të dekriminalizimit të homoseksualitetit nga Botsvana),CONAN
65,64,Albanian,JEWS,Hebrenjtë globalë nuk donin Brexit dhe po bëjnë gjithçka për ta sabotuar atë.,CONAN
66,65,Albanian,JEWS,"Hebrenjtë nuk mund të jenë patriotë, pasi besnikëria e tyre do të jetë gjithmonë ndaj shtetit të Izraelit.",CONAN
67,66,Albanian,JEWS,Komb i vetëm që hebrenjtë nuk e urrejnë është i tyre dhe po mbushin Europën me afrikanë dhe myslimanë.,CONAN
68,67,Albanian,JEWS,Pakicat votojnë për t'u marrë pasurinë dhe fuqinë të bardhëve dhe kjo organizohet nga Hebrenjtë.,CONAN
69,68,Albanian,JEWS,Cili është ndryshimi mes një lope dhe Holokaustit? Ti ndalon ta mjelësh lopën pas 70 vitesh.,CONAN
70,69,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vitet e fundit me mbi 400 mijë që marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
71,70,Albanian,other,"Më bën të qesh me gjithë shpirt, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezë në vendet e zeza si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne durojmë këtë budallallëk.",CONAN
72,71,Albanian,other,"Qeveria e MB ka publikuar së fundmi një dokument mbi ‘Dëmet Online’ – me fjalë të tjera ata do të punojnë me organizatat hebraike dhe myslimane kundër urrejtjes për të censuruar internetin. (Duke iu referuar Tell Mama, CST dhe Stop Hate UK)",CONAN
73,72,Albanian,other,Ndoshta OKB-ja mund të flasë me ato vende aziatike dhe afrikane që janë përgjegjëse për mbi 90% të ndotjes së oqeaneve në vend që të këmbëngulë në këtë budallallëk për ndryshimet klimatike.,CONAN
74,73,Albanian,JEWS,"Hebrenjtë nuk mund të jenë patriotë, pasi besnikëria e tyre do të jetë gjithmonë ndaj shtetit të Izraelit.",CONAN
75,74,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vitet e fundit me mbi 400 mijë që marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
76,75,Albanian,MIGRANTS,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion paund. Lypsarë në rrugën kryesore dhe dikush që fle në stol. Nuk mund t’i strehojmë njerëzit tanë por sjellim miliona të tjerë. Të thuash se të pastrehët janë për shkak të emigracionit të pakontrolluar do të të quajnë ‘racist’. (Titull mbi një foto të një të pastrehu që fle në stol)",CONAN
77,76,Albanian,JEWS,"Hebrenjtë nuk mund të jenë patriotë, pasi besnikëria e tyre do të jetë gjithmonë ndaj shtetit të Izraelit.",CONAN
78,77,Albanian,JEWS,Fuqia e tyre për të ndaluar filma dhe për të ndëshkuar regjisorë është dëshmi se hebrenjtë kontrollojnë Hollywood-in.,CONAN
79,78,Albanian,other,"Më bën të qesh me gjithë shpirt, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezë në vendet e zeza si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne durojmë këtë budallallëk.",CONAN
80,79,Albanian,JEWS,"Hebrenjtë pëlqejnë të ndajnë zona për vete, ku asnjë hebre tjetër nuk lejohet të shkojë, ndërkohë që gjykatësit e tyre mbushin lagjet e bardha me banesa sociale.",CONAN
81,80,Albanian,JEWS,Komb i vetëm që hebrenjtë nuk e urrejnë është i tyre dhe po mbushin Europën me afrikanë dhe myslimanë.,CONAN
82,81,Albanian,LGBT+,Duhet të jetë e vështirë të jesh gay. Ata duhet të bëjnë gjithçka që bëjmë ne por edhe të gjejnë kohë për të ngacmuar fëmijët.,CONAN
83,82,Albanian,JEWS,Hebrenjtë globalë nuk donin Brexit dhe po bëjnë gjithçka për ta sabotuar atë.,CONAN
84,83,Albanian,LGBT+,E kam toleruar krenarinë gay. E kam toleruar që të jenë në TV dhe në çdo shesh qyteti. Por nuk e toleroj që demonët trans të lexojnë libra për fëmijët. (për orën e rrëfimeve nga drag queens),CONAN
85,84,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vitet e fundit me mbi 400 mijë që marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
86,85,Albanian,JEWS,Komb i vetëm që hebrenjtë nuk e urrejnë është i tyre dhe po mbushin Europën me afrikanë dhe myslimanë.,CONAN
87,86,Albanian,MIGRANTS,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion paund. Lypsarë në rrugën kryesore dhe dikush që fle në stol. Nuk mund t’i strehojmë njerëzit tanë por sjellim miliona të tjerë. Të thuash se të pastrehët janë për shkak të emigracionit të pakontrolluar do të të quajnë ‘racist’. (Titull mbi një foto të një të pastrehu që fle në stol)",CONAN
88,87,Albanian,MIGRANTS,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion paund. Lypsarë në rrugën kryesore dhe dikush që fle në stol. Nuk mund t’i strehojmë njerëzit tanë por sjellim miliona të tjerë. Të thuash se të pastrehët janë për shkak të emigracionit të pakontrolluar do të të quajnë ‘racist’. (Titull mbi një foto të një të pastrehu që fle në stol)",CONAN
89,88,Albanian,other,"Më bën të qesh me gjithë shpirt, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezë në vendet e zeza si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne durojmë këtë budallallëk.",CONAN
90,89,Albanian,WOMEN,"Ja pse gratë nuk i përkasin politikës, nëse një burrë ankohej si ato, do të quhej frikacak dhe do t’i thuhej të largohej nga puna. Barazia është një gënjeshtër dhe feminizmi është dënimi me vdekje për çdo civilizim.",CONAN
91,90,Albanian,WOMEN,Feministet kanë fituar. Me kaq shumë gra që nuk duan të riprodhojnë do të zëvendësohemi dhe do ta humbasim qytetërimin.,CONAN
92,91,Albanian,JEWS,Po sikur e gjithë klasa jonë drejtuese të përbëhej nga pedofilë të kontrolluar nga Hebrenjtë? Kjo do të shpjegonte shumë.,CONAN
93,92,Albanian,other,Ndoshta OKB-ja mund të flasë me ato vende aziatike dhe afrikane që janë përgjegjëse për mbi 90% të ndotjes së oqeaneve në vend që të këmbëngulë në këtë budallallëk për ndryshimet klimatike.,CONAN
94,93,Albanian,other,Ndoshta OKB-ja mund të flasë me ato vende aziatike dhe afrikane që janë përgjegjëse për mbi 90% të ndotjes së oqeaneve në vend që të këmbëngulë në këtë budallallëk për ndryshimet klimatike.,CONAN
95,94,Albanian,MIGRANTS,Pakistan: 202 milionë Nigeria: 193 milionë Bangladesh: 165 milionë Etiopi: 107 milionë Kongo: 84 milionë Britania e Madhe: 66 milionë ‘Pakicat etnike’ Mos më bëj të qesh me gjithë shpirt!,CONAN
96,95,Albanian,WOMEN,"Ja pse gratë nuk i përkasin politikës, nëse një burrë ankohej si ato, do të quhej frikacak dhe do t’i thuhej të largohej nga puna. Barazia është një gënjeshtër dhe feminizmi është dënimi me vdekje për çdo civilizim.",CONAN
97,96,Albanian,JEWS,"Hebrenjtë bënë: Sulmin ndaj USS Liberty, sulmin ndaj hotelit King David, New York 9/11, Londër 7/7",CONAN
98,97,Albanian,JEWS,"Hebrenjtë bënë: Sulmin ndaj USS Liberty, sulmin ndaj hotelit King David, New York 9/11, Londër 7/7",CONAN
99,98,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",CONAN
100,99,Albanian,LGBT+,Duhet të jetë e vështirë të jesh gay. Ata duhet të bëjnë gjithçka që bëjmë ne por edhe të gjejnë kohë për të ngacmuar fëmijët.,CONAN
101,101,Albanian,JEWS,Hebrenjtë globalë nuk e deshën Brexit-in dhe po bëjnë gjithçka për ta sabotuar.,CONAN
103,103,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, ato mbeten kështu gjatë pjesës më të madhe të jetës. Të buta dhe emocionale. Kjo e ka shkatërruar civilizimin tonë dikur të madh patriarkal.",CONAN
104,104,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vjet me mbi 400 mijë që tani marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
105,105,Albanian,MIGRANTS,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion £. Lypës në rrugën kryesore dhe dikush që fle në stol. Nuk mund të strehojmë njerëzit tanë, por sjellim miliona të tjerë. Të thuash që pastrehësia vjen nga emigracioni i pakontrolluar të quajnë ‘racist’.",CONAN
106,106,Albanian,JEWS,Cili është ndryshimi mes një lope dhe Holokaustit? Ti ndalon së mjeluri lopën pas 70 vitesh.,CONAN
107,107,Albanian,other,"Më bën të qesh, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezakëve në vendet e tyre si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne duam të durojmë këtë budallallëk.",CONAN
108,108,Albanian,other,"Qeveria britanike publikoi së fundmi një dokument për ‘Dëmet Online’ – me fjalë të tjera do të punojnë me organizata hebraike dhe myslimane kundër urrejtjes për të censuruar internetin. (Duke iu referuar Tell Mama, CST dhe Stop Hate UK)",CONAN
109,109,Albanian,JEWS,Cili është ndryshimi mes një lope dhe Holokaustit? Ti ndalon së mjeluri lopën pas 70 vitesh.,CONAN
110,110,Albanian,JEWS,Lëngu (hebrejtë) janë arsyeja pse Amerika detyrohet të pranojë çdo mbeturinë që troket në derë. Ata duan që ky vend të përzihet dhe të bëhet budalla që të mund ta sundojnë unanimisht me pëlqimin e heshtur dhe të bindur të skllevërve të tyre të rinj.,CONAN
111,111,Albanian,WOMEN,"Kjo është arsyeja pse gratë nuk i përkasin politikës, nëse një burrë do të ankohej si ato, do ta quanin frikacak dhe do t’i thoshin të largohej. Barazia është një gënjeshtër dhe feminizmi është një dënim me vdekje për çdo civilizim.",CONAN
112,112,Albanian,other,Ndoshta OKB mund të flasë me ato vende aziatike dhe afrikane përgjegjëse për mbi 90% të ndotjes së oqeaneve në vend që të insistojë në këtë marrëzi për ndryshimet klimatike.,CONAN
113,113,Albanian,JEWS,"‘Lëngu (hebrejtë) janë më të këqinj se bombat bërthamore.’ Përshkrim në një meme që tregon Hiroshima 1945 dhe sot, krahasuar me foto të Detroit 1945 dhe sot.",CONAN
114,114,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vjet me mbi 400 mijë që tani marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
115,115,Albanian,JEWS,"Hebrenjtë nuk mund të jenë patriotë, pasi besnikëria e tyre do të jetë gjithmonë për Izraelin.",CONAN
116,116,Albanian,JEWS,"Izraeli, sionizmi dhe kontrolli supremacist hebre mbi Amerikën janë shkaqet kryesore të terrorizmit, paqëndrueshmërisë dhe konflikteve në botë. Të gjitha teoritë e tjera janë shmangie nga kjo e vërtetë e fundit.",CONAN
117,117,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, ato mbeten kështu gjatë pjesës më të madhe të jetës. Të buta dhe emocionale. Kjo e ka shkatërruar civilizimin tonë dikur të madh patriarkal.",CONAN
118,118,Albanian,MIGRANTS,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vjet me mbi 400 mijë që tani marrin pagesa. Kjo marrëzi duhet të ndalet.,CONAN
119,119,Albanian,WOMEN,"Kush dreqin je ti? Na vjen përpjetë nga këto feministe që urrejnë meshkujt e bardhë të fuqishëm, kur vetë janë vetëm xheloze, të paafta dhe të padobishme.",CONAN
120,120,Albanian,WOMEN,"Gratë janë në thelb si fëmijë, ato mbeten kështu gjatë pjesës më të madhe të jetës. Të buta dhe emocionale. Kjo e ka shkatërruar civilizimin tonë dikur të madh patriarkal.",CONAN
121,121,Albanian,other,"Më bën të qesh, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezakëve në vendet e tyre si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne duam të durojmë këtë budallallëk.",CONAN
